image,domain,num_detections,mean_confidence,latency_sec
000065.png,sharp,6,0.4756766160329183,0.008655548095703125
000066.png,blurred,5,0.48613924980163575,0.010210514068603516
000066.png,deblurred,2,0.334080308675766,0.009242534637451172
000066.png,sharp,5,0.6145553529262543,0.009096860885620117
000067.png,blurred,5,0.5323343873023987,0.01004338264465332
000067.png,deblurred,2,0.6277097761631012,0.00966334342956543
000067.png,sharp,5,0.6475161075592041,0.009021759033203125
000068.png,blurred,5,0.5404420554637909,0.010010957717895508
000068.png,deblurred,3,0.384083370367686,0.009039878845214844
000068.png,sharp,9,0.48896148469712997,0.00872945785522461
000069.png,blurred,5,0.5606503307819366,0.01000666618347168
000069.png,deblurred,4,0.3148476108908653,0.008692741394042969
000069.png,sharp,6,0.5934182405471802,0.008399486541748047
000070.png,blurred,4,0.660691037774086,0.009656906127929688
000070.png,deblurred,2,0.4252097010612488,0.00869607925415039
000070.png,sharp,5,0.6304317712783813,0.00843954086303711
000071.png,blurred,4,0.5335862264037132,0.009948492050170898
000071.png,deblurred,0,0.0,0.008598089218139648
000071.png,sharp,4,0.6316200643777847,0.008895397186279297
000072.png,blurred,5,0.6388543844223022,0.00987100601196289
000072.png,deblurred,0,0.0,0.008206605911254883
000072.png,sharp,6,0.5269350111484528,0.008701324462890625
000073.png,blurred,6,0.5565763264894485,0.009917259216308594
000073.png,deblurred,0,0.0,0.008308172225952148
000073.png,sharp,6,0.5777400980393091,0.008856058120727539
000074.png,blurred,5,0.5281451284885407,0.010038137435913086
000074.png,deblurred,0,0.0,0.008241891860961914
000074.png,sharp,5,0.5783666908740998,0.009176492691040039
000075.png,blurred,4,0.5260852947831154,0.009989023208618164
000075.png,deblurred,2,0.2794834077358246,0.009258031845092773
000075.png,sharp,6,0.5802400161822637,0.00882863998413086
000076.png,blurred,4,0.5381143316626549,0.009939908981323242
000076.png,deblurred,0,0.0,0.008214473724365234
000076.png,sharp,5,0.5887001574039459,0.008859634399414062
000077.png,blurred,2,0.2728586792945862,0.010306596755981445
000077.png,deblurred,1,0.3340217173099518,0.009007692337036133
000077.png,sharp,5,0.5360867440700531,0.008684635162353516
000078.png,blurred,2,0.7188634872436523,0.009989023208618164
000078.png,deblurred,0,0.0,0.008370637893676758
000078.png,sharp,4,0.6629002764821053,0.008683919906616211
000079.png,blurred,3,0.6314197778701782,0.009826421737670898
000079.png,deblurred,0,0.0,0.008111000061035156
000079.png,sharp,5,0.6080918848514557,0.009392738342285156
000080.png,blurred,4,0.546964980661869,0.012348413467407227
000080.png,deblurred,4,0.4382306784391403,0.014394760131835938
000080.png,sharp,5,0.5365474998950959,0.009429931640625
